Tempo_s,Coppia_dx_Nm,RPM_dx,Potenza_dx_W

0,-1.73500916792246,0,-0
0.001,-1.73500916792246,-3.81865706077119,0.693810790172817
0.002,-1.73500916792246,-7.63723767927411,1.38760769157015
0.003,-1.73500916792246,-11.4556654125917,2.08137681529865
0.004,-1.73500916792246,-15.2738638165095,2.77510427222923
0.005,-1.73500916792246,-19.0917564448669,3.46877617287921
0.006,-1.73500916792246,-22.9092668489086,4.1623786272945
0.007,-1.73500916792246,-26.7263185766365,4.85589774493176
0.008,-1.73500916792246,-30.5428351721609,5.54931963454069
0.009,-1.73500916792246,-34.358740175053,6.24263040404623
0.01,-1.73500916792246,-38.1739571196972,6.93581616043089
0.011,-1.73500916792246,-41.9884095346432,7.62886300961713
0.012,-1.73500916792246,-45.8020209419591,8.32175705634977
0.013,-1.73500916792246,-49.6147148565847,9.01448440407847
0.014,-1.73500916792246,-53.426414785685,9.70703115484029
0.015,-1.73500916792246,-57.2370442280043,10.3993834091423
0.016,-1.73500916792246,-61.0465266732206,11.0915272658445
0.017,-1.73500916792246,-64.8547856013006,11.7834488220421
0.018,-1.73500916792246,-68.6617444818554,12.4751341729491
0.019,-1.73500916792246,-72.4673267734966,13.166569411781
0.02,-1.73500916792246,-76.2714559231927,13.8577406296376
0.021,-1.73500916792246,-80.0740553656269,14.5486339153869
0.022,-1.73500916792246,-83.875048522555,15.239235355548
0.023,-1.73500916792246,-87.6743588021641,15.9295310341746
0.024,-1.73500916792246,-91.471909598432,16.6195070327388
0.025,-1.73500916792246,-95.267624290488,17.309149430015
0.026,-1.73500916792246,-99.0614262419736,17.9984443019635
0.027,-1.73500916792246,-102.853238800404,18.6873777216147
0.028,-1.73500916792246,-106.642985296534,19.3759357589534
0.029,-1.73500916792246,-110.430589043716,20.0641044808032
0.03,-1.73500916792246,-114.215973337271,20.7518699507113
0.031,-1.73500916792246,-117.999061453851,21.4392182288328
0.032,-1.73500916792246,-121.779776650806,22.1261353718161
0.033,-1.73500916792246,-125.558042165554,22.8126074326879
0.034,-1.73500916792246,-129.333781214948,23.4986204607385
0.035,-1.73500916792246,-133.106916994647,24.1841605014076
0.036,-1.73500916792246,-136.877372678488,24.8692135961699
0.037,-1.73500916792246,-140.645071417858,25.5537657824213
0.038,-1.73500916792246,-144.409936341068,26.237803093365
0.039,-1.73500916792246,-148.171890552728,26.921311557898
0.04,-1.73500916792246,-151.930857133126,27.6042772004981
0.041,-1.73500916792246,-155.686759137601,28.2866860411104
0.042,-1.73500916792246,-159.43951959593,28.9685240950352
0.043,-1.73500916792246,-163.189061511701,29.649777372815
0.044,-1.73500916792246,-166.935307861701,30.3304318801225
0.045,-1.73500916792246,-170.678181595297,31.0104736176486
0.046,-1.73500916792246,-174.417605633823,31.689888580991
0.047,-1.73500916792246,-178.153502869967,32.3686627605425
0.048,-1.73500916792246,-181.88579616716,33.0467821413803
0.049,-1.73500916792246,-185.614408358965,33.724232703155
0.05,-1.73500916792246,-188.962800888065,34.3326012550968
0.051,-1.73500916792246,-190.427420590453,34.5987076209853
0.052,-1.73500916792246,-191.89206210582,34.8648179500683
0.053,-1.73500916792246,-193.356725242399,35.1309322075034
0.054,-1.73500916792246,-194.821409808274,35.3970503584218
0.055,-1.73500916792246,-196.286115611388,35.6631723679285
0.056,-1.73500916792246,-197.750842459534,35.9292982011015
0.057,-2.17741118898557,-199.215590160361,45.4247337645339
0.058,-2.17741118898557,-201.919057426659,46.0411728731089
0.059,-2.17741118898557,-204.622543598983,46.6576162925977
0.06,-2.17741118898557,-207.326048247496,47.2740639249895
0.061,-2.17741118898557,-210.02957094218,47.8905156722324
0.062,-2.17741118898557,-212.733111252829,48.5069714362321
0.063,-2.17741118898557,-215.436668749055,49.1234311188517
0.064,-2.17741118898557,-218.140243000274,49.7398946219111
0.065,-2.17741118898557,-220.843833575714,50.356361847186
0.066,-2.17741118898557,-223.547440044405,50.9728326964077
0.067,-2.17741118898557,-226.251061975179,51.5893070712621
0.068,-2.17741118898557,-228.954698936667,52.2057848733894
0.069,-2.17741118898557,-231.658350497297,52.8222660043834
0.07,-2.17741118898557,-234.362016225289,53.4387503657903
0.071,-2.17741118898557,-237.065695688654,54.0552378591092
0.0720000000000001,-2.17741118898557,-239.769388455191,54.6717283857903
0.0730000000000001,-2.17741118898557,-242.473094092484,55.288221847235
0.0740000000000001,-2.17741118898557,-245.1768121679,55.904718144795
0.0750000000000001,-2.17741118898557,-247.880542248583,56.5212171797718
0.0760000000000001,-2.17741118898557,-250.584283901456,57.1377188534158
0.0770000000000001,-2.17741118898557,-253.288036693215,57.7542230669259
0.0780000000000001,-2.17741118898557,-255.991800190326,58.3707297214488
0.0790000000000001,-2.17741118898557,-258.695573959027,58.9872387180784
0.0800000000000001,-2.17741118898557,-261.399357565316,59.603749957855
0.0810000000000001,-2.17741118898557,-264.103150574958,60.220263341765
0.0820000000000001,-2.17741118898557,-266.806952553475,60.8367787707397
0.0830000000000001,-2.17741118898557,-269.510763066148,61.4532961456553
0.0840000000000001,-2.17741118898557,-272.214581678011,62.0698153673317
0.0850000000000001,-2.17741118898557,-274.91840795385,62.6863363365324
0.0860000000000001,-2.17741118898557,-277.622241458199,63.3028589539631
0.0870000000000001,-2.17741118898557,-280.326081755338,63.9193831202721
0.0880000000000001,-2.17741118898557,-283.02992840929,64.5359087360485
0.0890000000000001,-2.17741118898557,-285.733780983817,65.1524357018225
0.0900000000000001,-2.17741118898557,-288.43763904242,65.7689639180642
0.0910000000000001,-2.17741118898557,-291.141502148332,66.3854932851832
0.0920000000000001,-2.17741118898557,-293.84536986452,67.0020237035279
0.0930000000000001,-2.17741118898557,-296.549241753677,67.6185550733846
0.0940000000000001,-2.17741118898557,-299.253117378224,68.2350872949773
0.0950000000000001,-2.17741118898557,-301.956996300304,68.8516202684667
0.0960000000000001,-2.17741118898557,-304.66087808178,69.4681538939499
0.0970000000000001,-2.17741118898557,-307.364762284233,70.0846880714591
0.0980000000000001,-2.17741118898557,-310.068648468956,70.7012227009617
0.0990000000000001,-2.17741118898557,-312.772536196956,71.3177576823591
0.1,-2.17741118898557,-315.476425028948,71.9342929154863
0.101,-2.17741118898557,-318.18031452535,72.5508283001113
0.102,-2.17741118898557,-320.884204246287,73.1673637359341
0.103,-2.17741118898557,-323.588093751581,73.7838991225864
0.104,-2.17741118898557,-326.291982600751,74.4004343596308
0.105,-2.17741118898557,-328.995870353012,75.01696934656
0.106,-2.17741118898557,-331.699756567268,75.6335039827966
0.107,-2.17741118898557,-334.403640802112,76.2500381676917
0.108,-2.17741118898557,-337.107522615823,76.8665718005249
0.109,-2.17741118898557,-339.811401566361,77.4831047805034
0.11,-2.17741118898557,-342.515277211367,78.0996370067611
0.111,-2.17741118898557,-345.219149108158,78.7161683783583
0.112,-2.17741118898557,-347.923016813723,79.3326987942809
0.113,-2.17741118898557,-350.626879884725,79.9492281534396
0.114,-2.17741118898557,-353.330737877491,80.5657563546694
0.115,-2.20173039317036,-356.034590348014,82.0889969820757
0.116,-2.20173039317036,-358.768143952924,82.719257860392
0.117,-2.20173039317036,-361.501691241854,83.3495172824667
0.118,-2.20173039317036,-364.235231763501,83.9797751442452
0.119,-2.20173039317036,-366.968765066215,84.6100313415925
0.12,-2.20173039317036,-369.702290697993,85.2402857702932
0.121,-2.20173039317036,-372.435808206482,85.8705383260502
0.122,-2.20173039317036,-375.169317138969,86.5007889044845
0.123,-2.20173039317036,-377.902817042386,87.1310374011342
0.124,-2.20173039317036,-380.6363074633,87.7612837114536
0.125,-2.20173039317036,-383.369787947913,88.3915277308131
0.126,-2.20173039317036,-386.103258042058,89.021769354498
0.127,-2.20173039317036,-388.836717291199,89.6520084777079
0.128,-2.20173039317036,-391.570165240422,90.2822449955561
0.129,-2.20173039317036,-394.303601434438,90.9124788030689
0.13,-2.20173039317036,-397.037025417576,91.5427097951846
0.131,-2.20173039317036,-399.770436733782,92.1729378667533
0.132,-2.20173039317036,-402.503834926613,92.8031629125355
0.133,-2.20173039317036,-405.237219539239,93.4333848272022
0.134,-2.20173039317036,-407.970590114434,94.0636035053334
0.135,-2.20173039317036,-410.703946194579,94.693818841418
0.136,-2.20173039317036,-413.437287321652,95.3240307298527
0.137,-2.20173039317036,-416.170613037231,95.9542390649414
0.138,-2.20173039317036,-418.903922882488,96.5844437408946
0.139,-2.20173039317036,-421.637216398186,97.2146446518283
0.14,-2.20173039317036,-424.370493124676,97.8448416917639
0.141,-2.20173039317036,-427.103752601894,98.4750347546269
0.142,-2.20173039317036,-429.836994369358,99.1052237342463
0.143,-2.20173039317036,-432.570217966164,99.7354085243541
0.144,-2.20173039317036,-435.303422930986,100.365589018584
0.145,-2.20173039317036,-438.036608802066,100.995765110473
0.146,-2.20173039317036,-440.769775117219,101.625936693455
0.147,-2.20173039317036,-443.502921413824,102.256103660868
0.148,-2.20173039317036,-446.236047228824,102.886265905946
0.149,-2.20173039317036,-448.96915209872,103.516423321823
0.15,-2.20173039317036,-451.702235559571,104.146575801531
0.151,-2.20173039317036,-454.435297146988,104.776723237998
0.152,-2.20173039317036,-457.168336396133,105.406865524048
0.153,-2.20173039317036,-459.901352841713,106.037002552402
0.154,-2.20173039317036,-462.63434601798,106.667134215675
0.155,-2.20173039317036,-465.367315458726,107.297260406375
0.156,-2.20173039317036,-468.10026069728,107.927381016905
0.157,-2.20173039317036,-470.833181266504,108.557495939559
0.158,-2.20173039317036,-473.566076698791,109.187605066523
0.159,-2.20173039317036,-476.298946526061,109.817708289876
0.16,-2.20173039317036,-479.031790279759,110.447805501584
0.161,-2.20173039317036,-481.76460749085,111.077896593504
0.162,-2.20173039317036,-484.497397689815,111.707981457382
0.163,-2.20173039317036,-487.230160406651,112.338059984853
0.164,-2.20173039317036,-489.962895170864,112.968132067436
0.165,-2.20173039317036,-492.69560151147,113.59819759654
0.166,-2.20173039317036,-495.428278956987,114.228256463458
0.167,-2.20173039317036,-498.160927035434,114.858308559366
0.168,-2.20173039317036,-500.893545274328,115.488353775328
0.169,-2.20173039317036,-503.626133200681,116.118392002289
0.17,-2.20173039317036,-506.358690340993,116.748423131077
0.171,-2.20173039317036,-509.091216221255,117.378447052401
0.172,-2.20173039317036,-511.823710366939,118.008463656854
0.173,-2.22171171009318,-514.556172303,119.715150039483
0.174,-2.22171171009318,-517.307446390413,120.355253507099
0.175,-2.22171171009318,-520.05868761914,120.995349329909
0.176,-2.22171171009318,-522.809895509258,121.635437396254
0.177,-2.22171171009318,-525.561069580309,122.275517594352
0.178,-2.22171171009318,-528.312209351304,122.915589812299
0.179,-2.22171171009318,-531.063314340711,123.555653938062
0.18,-2.22171171009318,-533.814384066461,124.195709859485
0.181,-2.22171171009318,-536.565418045937,124.835757464284
0.182,-2.22171171009318,-539.316415795975,125.475796640046
0.183,-2.22171171009318,-542.067376832859,126.115827274232
0.184,-2.22171171009318,-544.818300672317,126.755849254172
0.185,-2.22171171009318,-547.569186829517,127.395862467067
0.186,-2.22171171009318,-550.320034819066,128.035866799987
0.187,-2.22171171009318,-553.070844155006,128.67586213987
0.188,-2.22171171009318,-555.821614350806,129.315848373522
0.189,-2.22171171009318,-558.572344919366,129.955825387614
0.19,-2.22171171009318,-561.323035373007,130.595793068686
0.191,-2.22171171009318,-564.07368522347,131.23575130314
0.192,-2.22171171009318,-566.824293981914,131.875699977243
0.193,-2.22171171009318,-569.574861158909,132.515638977127
0.194,-2.22171171009318,-572.325386264435,133.155568188785
0.195,-2.22171171009318,-575.075868807879,133.795487498071
0.196,-2.22171171009318,-577.826308298027,134.435396790703
0.197,-2.22171171009318,-580.576704243067,135.075295952255
0.198,-2.22171171009318,-583.327056150579,135.715184868164
0.199,-2.22171171009318,-586.077363527536,136.355063423723
0.2,-2.22171171009318,-588.827625880298,136.994931504083
0.201,-2.22171171009318,-591.577842714609,137.634788994252
0.202,-2.22171171009318,-594.328013535594,138.274635779093
0.203,-2.22171171009318,-597.078137847755,138.914471743326
0.204,-2.22171171009318,-599.828215154964,139.554296771524
0.205,-2.22171171009318,-602.578244960467,140.194110748111
0.206,-2.22171171009318,-605.328226766874,140.833913557368
0.207,-2.22171171009318,-608.078160076154,141.473705083423
0.208,-2.22171171009318,-610.828044389638,142.113485210259
0.209,-2.22171171009318,-613.577879208011,142.753253821705
0.21,-2.22171171009318,-616.327664031308,143.393010801441
0.211,-2.22171171009318,-619.077398358911,144.032756032996
0.212,-2.22171171009318,-621.827081689547,144.672489399743
0.213,-2.22171171009318,-624.576713521281,145.312210784905
0.214,-2.22171171009318,-627.326293351514,145.951920071549
0.215,-2.22171171009318,-630.07582067698,146.591617142585
0.216,-2.22171171009318,-632.825294993741,147.231301880769
0.217,-2.22171171009318,-635.574715797183,147.870974168699
0.218,-2.22171171009318,-638.324082582015,148.510633888816
0.219,-2.22171171009318,-641.073394842259,149.1502809234
0.22,-2.22171171009318,-643.822652071253,149.789915154573
0.221,-2.22171171009318,-646.571853761644,150.429536464295
0.222,-2.22171171009318,-649.320999405383,151.069144734365
0.223,-2.22171171009318,-652.070088493725,151.70873984642
0.224,-2.22171171009318,-654.81912051722,152.348321681933
0.225,-2.22171171009318,-657.568094965712,152.987890122212
0.226,-2.22171171009318,-660.317011328339,153.627445048402
0.227,-2.22171171009318,-663.065869093519,154.26698634148
0.228,-2.22171171009318,-665.814667748956,154.906513882256
0.229,-2.22171171009318,-668.563406781632,155.546027551372
0.23,-2.22171171009318,-671.3120856778,156.185527229303
0.231,-2.21093163783539,-674.060703922989,156.064074749308
0.232,-2.21093163783539,-676.748595772038,156.686397563866
0.233,-2.21093163783539,-679.436427740061,157.308706514276
0.234,-2.21093163783539,-682.124199329139,157.931001485257
0.235,-2.21093163783539,-684.81191004064,158.55328236136
0.236,-2.21093163783539,-687.499559375218,159.175549026974
0.237,-2.21093163783539,-690.187146832807,159.797801366319
0.238,-2.21093163783539,-692.874671912617,160.420039263448
0.239,-2.21093163783539,-695.562134113131,161.042262602245
0.24,-2.21093163783539,-698.249532932103,161.664471266426
0.241,-2.21093163783539,-700.936867866551,162.286665139538
0.242,-2.21093163783539,-703.624138412755,162.908844104954
0.243,-2.21093163783539,-706.311344066252,163.531008045877
0.244,-2.21093163783539,-708.998484321837,164.153156845338
0.245,-2.21093163783539,-711.685558673549,164.775290386193
0.246,-2.21093163783539,-714.372566614679,165.397408551124
0.247,-2.21093163783539,-717.059507637759,166.019511222637
0.248,-2.21093163783539,-719.746381234557,166.641598283064
0.249,-2.21093163783539,-722.433186896079,167.263669614557
0.25,-2.21093163783539,-725.119924112561,167.885725099092
0.251,-2.21093163783539,-727.806592373466,168.507764618465
0.252,-2.21093163783539,-730.493191167481,169.129788054293
0.253,-2.21093163783539,-733.179719982511,169.751795288011
0.254,-2.21093163783539,-735.866178305677,170.373786200872
0.255,-2.21093163783539,-738.55256562331,170.99576067395
0.256,-2.21093163783539,-741.238881420951,171.617718588131
0.257,-2.21093163783539,-743.925125183343,172.239659824119
0.258,-2.21093163783539,-746.611296394429,172.861584262432
